text	labels
Selegiline - induced postural hypotension in Parkinson ' s disease : a longitudinal study on the effects of drug withdrawal .	B-Chemical O O B-Disease I-Disease O B-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O
OBJECTIVES : The United Kingdom Parkinson ' s Disease Research Group ( UKPDRG ) trial found an increased mortality in patients with Parkinson ' s disease ( PD ) randomized to receive 10 mg selegiline per day and L - dopa compared with those taking L - dopa alone .	O O O O O B-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease O B-Disease O O O O O O B-Chemical O O O B-Chemical I-Chemical I-Chemical O O O O B-Chemical I-Chemical I-Chemical O O
Recently , we found that therapy with selegiline and L - dopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline .	O O O O O O O B-Chemical O B-Chemical I-Chemical I-Chemical O O O O B-Disease I-Disease I-Disease O O O O O O B-Chemical O
This unwanted effect on postural blood pressure was not the result of underlying autonomic failure .	O O O O O O O O O O O O O O O O
The aims of this study were to confirm our previous findings in a separate cohort of patients and to determine the time course of the cardiovascular consequences of stopping selegiline in the expectation that this might shed light on the mechanisms by which the drug causes orthostatic hypotension .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Chemical O O O O O O O O O O O O O O O O B-Disease I-Disease O
METHODS : The cardiovascular responses to standing and head - up tilt were studied repeatedly in PD patients receiving selegiline and as the drug was withdrawn .	O O O O O O O O O O O O O O O O B-Disease O O B-Chemical O O O O O O O
RESULTS : Head - up tilt caused systolic orthostatic hypotension which was marked in six of 20 PD patients on selegiline , one of whom lost consciousness with unrecordable blood pressures .	O O O O O O O B-Disease I-Disease I-Disease O O O O O O O B-Disease O O B-Chemical O O O O O O O O O O O
A lesser degree of orthostatic hypotension occurred with standing .	O O O O B-Disease I-Disease O O O O
Orthostatic hypotension was ameliorated 4 days after withdrawal of selegiline and totally abolished 7 days after discontinuation of the drug .	B-Disease I-Disease O O O O O O O B-Chemical O O O O O O O O O O O
Stopping selegiline also significantly reduced the supine systolic and diastolic blood pressures consistent with a previously undescribed supine pressor action .	O B-Chemical O O B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O O O
CONCLUSION : This study confirms our previous finding that selegiline in combination with L - dopa is associated with selective orthostatic hypotension .	O O O O O O O O O B-Chemical O O O B-Chemical I-Chemical I-Chemical O O O O B-Disease I-Disease O
The possibilities that these cardiovascular findings might be the result of non - selective inhibition of monoamine oxidase or of amphetamine and metamphetamine are discussed .	O O O O O O O O O O O O O O O O O O O O B-Chemical O B-Chemical O O O
Further studies on effects of irrigation solutions on rat bladders .	O O O O O O O O O O O
Further studies on the effects of certain irrigating fluids on the rat bladder for 18 hours are reported .	O O O O O O O O O O O O O O O O O O O
The results have shown that the degradation product p - choloroaniline is not a significant factor in chlorhexidine - digluconate associated erosive cystitis .	O O O O O O O O B-Chemical I-Chemical I-Chemical O O O O O O B-Chemical I-Chemical I-Chemical O O B-Disease O
A high percentage of kanamycin - colistin and povidone - iodine irrigations were associated with erosive cystitis and suggested a possible complication with human usage .	O O O O B-Chemical O B-Chemical O B-Chemical I-Chemical I-Chemical O O O O O B-Disease O O O O O O O O O
Picloxydine irrigations appeared to have a lower incidence of erosive cystitis but further studies would have to be performed before it could be recommended for use in urological procedures .	B-Chemical O O O O O O O O O B-Disease O O O O O O O O O O O O O O O O O O O
Effects of tetrandrine and fangchinoline on experimental thrombosis in mice and human platelet aggregation .	O O B-Chemical O B-Chemical O O B-Disease O O O O B-Disease I-Disease O
