text	labels
Methanoregula formicica sp . nov . , a methane - producing archaeon isolated from methanogenic sludge .	B I O O O O O O O O O O O O O O O
A novel methane - producing archaeon , strain SMSP ( T ) , was isolated from an anaerobic , propionate - degrading enrichment culture that was originally obtained from granular sludge in a mesophilic upflow anaerobic sludge blanket ( UASB ) reactor used to treat a beer brewery effluent .	O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Cells were non - motile , blunt - ended , straight rods , 1 . 0 - 2 . 6 mum long by 0 . 5 mum wide ; cells were sometimes up to 7 mum long .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Asymmetrical cell division was observed in rod - shaped cells .	O O O O O O O O O O O
Coccoid cells ( 0 . 5 - 1 . 0 mum in diameter ) were also observed in mid - to late - exponential phase cultures .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Growth was observed between 10 and 40 ^ 0C ( optimum , 30 - 33 ^ 0C ) and pH 7 . 0 and 7 . 6 ( optimum , pH 7 . 4 ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The G + C content of the genomic DNA was 56 . 2 mol % .	O O O O O O O O O O O O O O O O
The strain utilized formate and hydrogen for growth and methane production .	O O O O O O O O O O O O
Based on comparative sequence analyses of the 16S rRNA and mcrA ( encoding the alpha subunit of methyl - coenzyme M reductase , a key enzyme in the methane - producing pathway ) genes , strain SMSP ( T ) was affiliated with group E1 / E2 within the order Methanomicrobiales .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O
The closest relative based on both 16S rRNA and mcrA gene sequences was Methanoregula boonei 6A8 ( T ) ( 96 . 3 % 16S rRNA gene sequence similarity , 85 . 4 % deduced McrA amino acid sequence similarity ) .	O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O
The percentage of 16S rRNA gene sequence similarity indicates that strain SMSP ( T ) and Methanoregula boonei 6A8 ( T ) represent different species within the same genus .	O O O O O O O O O O O B I I I O B I I O O O O O O O O O O O
This is supported by our findings of shared phenotypic properties , including cell morphology and growth temperature range , and phenotypic differences in substrate usage and pH range .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Based on these genetic and phenotypic properties , we propose that strain SMSP ( T ) represents a novel species of the genus Methanoregula , for which we propose the name Methanoregula formicica sp . nov . , with the type strain SMSP ( T ) ( = NBRC 105244 ( T ) = DSM 22288 ( T ) ) .	O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O B I O O O O O O O O O B I I I O O O O O O O O O O O O O O O
Characterizing the role of the microtubule binding protein Bim1 in Cryptococcus neoformans .	O O O O O O O O O O B I O
During sexual development the human fungal pathogen Cryptococcus neoformans undergoes a developmental transition from yeast - form growth to filamentous growth .	O O O O B O O B I O O O O O O O O O O O O O
This transition requires cellular restructuring to form a filamentous dikaryon .	O O O O O O O O O O O
Dikaryotic growth also requires tightly controlled nuclear migration to ensure faithful replication and dissemination of genetic material to spore progeny .	O O O O O O O O O O O O O O O O O O O O O
Although the gross morphological changes that take place during dikaryotic growth are largely known , the molecular underpinnings that control this process are uncharacterized .	O O O O O O O O O O O O O O O O O O O O O O O O O
Here we identify and characterize a C . neoformans homolog of the Saccharomyces cerevisiae BIM1 gene , and establish the importance of BIM1 for proper filamentous growth of C . neoformans .	O O O O O O B I I O O O B I O O O O O O O O O O O O O O B I I O
Deletion of BIM1 leads to truncated sexual development filaments , a severe defect in diploid formation , and a block in monokaryotic fruiting .	O O O O O O O O O O O O O O O O O O O O O O O O
Our findings lead to a model consistent with a critical role for BIM1 in both filament integrity and nuclear congression that is mediated through the microtubule cytoskeleton .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Serinicoccus profundi sp . nov . , an actinomycete isolated from deep - sea sediment , and emended description of the genus Serinicoccus .	B I I I I I O O O O O O O O O O O O O O O O O O
A Gram - reaction - positive bacterial strain of the genus Serinicoccus , designated MCCC 1A05965 ( T ) , was isolated from a deep - sea ( 5368 m ) sediment of the Indian Ocean .	O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O
Comparison of 16S rRNA gene sequences revealed that the isolate shared 97 . 6 % sequence similarity with Serinicoccus marinus JC1078 ( T ) , the type strain of the only described species of the genus Serinicoccus .	O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O
The DNA - DNA relatedness between these two strains was 46 . 2 % ( standard deviation 1 . 86 % ) .	O O O O O O O O O O O O O O O O O O O O O O O
The cell wall contained alanine , glycine , serine , l - ornithine and glutamic acid , which corresponds to the description of the genus Serinicoccus .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
The acyl type of the glycan chain of the peptidoglycan was glycolyl .	O O O O O O O O O O O O O
Other characteristics of strain MCCC 1A05965 ( T ) were consistent with those of the genus Serinicoccus .	O O O O B I O O O O O O O O O O O O
Cells were coccoid , moderately halophilic , oxidase - negative , catalase - positive and non - spore - forming .	O O O O O O O O O O O O O O O O O O O O O
The major menaquinone was MK - 8 ( H ( 4 ) ) .	O O O O O O O O O O O O O O
The predominant cellular fatty acids were iso - C ( 15 : 0 ) ( 34 . 7 % ) and iso - C ( 16 : 0 ) ( 17 . 0 % ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The polar lipids were phosphatidylglycerol , diphosphatidylglycerol , phosphatidylcholine , phosphatidylinositol and an unknown glycolipid .	O O O O O O O O O O O O O O O O
The DNA G + C content was 72 mol % .	O O O O O O O O O O O
Strain MCCC 1A05965 ( T ) ( = 0714S6 - 1 ( T ) = DSM 21363 ( T ) = CGMCC 4 . 5582 ( T ) ) is assigned as the type strain of a novel species , for which the name Serinicoccus profundi sp . nov .	O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O
is proposed .	O O O
Proposal of Mingxiaea gen . nov . for the anamorphic basidiomycetous yeast species in the Bulleribasidium clade ( Tremellales ) based on molecular phylogenetic analysis , with six new combinations and four novel species .	O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O
