modelName,dataset,accuracy_global,recall_global,f1_score_global
bert-based,bc5cdr,0.82,86.68,84.37
Bio-bert-based,bc5cdr,0.88,90.85,89.47
bert-based,jnlpba,0.43,58.62,49.58
Bio-bert-based,jnlpba,0.52,66.67,58.15
bert-based,ncbi-disease,0.74,79.26,76.74
Bio-bert-based,ncbi-disease,0.87,91.12,88.8
bert-based,ontonote,0.7,70.59,70.17
Bio-bert-based,ontonote,0.83,86.13,84.54
bert-based,species800,0.63,69.48,66.0
Bio-bert-based,species800,0.7,77.66,73.79
spark-nlp,bc5cdr,75.95,85.03,80.23
spark-nlp,jnlpba,71.07,80.79,75.62
spark-nlp,ncbi-disease,85.15,88.13,86.62
spark-nlp,ontonote,82.22,87.44,84.68
spark-nlp,species800,92.34,92.32,92.33
